iter	Passed	Remaining
1062	20033	17658
1063	20052	17640
1064	20070	17620
1065	20086	17599
1066	20102	17577
1067	20120	17558
1068	20137	17538
1069	20156	17518
1070	20174	17499
1071	20193	17480
1072	20211	17461
1073	20229	17442
1074	20248	17423
1075	20265	17403
1076	20283	17383
1077	20301	17363
1078	20321	17346
1079	20341	17327
1080	20359	17307
1081	20377	17289
1082	20397	17271
1083	20417	17253
1084	20436	17234
1085	20454	17214
1086	20472	17195
1087	20492	17177
1088	20510	17158
1089	20530	17140
1090	20548	17120
1091	20566	17100
1092	20584	17081
1093	20604	17063
1094	20622	17044
1095	20641	17025
1096	20659	17006
1097	20678	16987
1098	20696	16968
1099	20715	16948
1100	20734	16930
1101	20752	16910
1102	20771	16891
1103	20789	16872
1104	20808	16853
1105	20826	16834
1106	20844	16815
1107	20864	16796
1108	20883	16777
1109	20899	16757
1110	20918	16738
1111	20937	16719
1112	20956	16701
1113	20975	16682
1114	20993	16663
1115	21011	16643
1116	21027	16622
1117	21044	16602
1118	21061	16581
1119	21079	16562
1120	21097	16542
1121	21113	16521
1122	21130	16501
1123	21149	16483
1124	21168	16464
1125	21185	16444
1126	21203	16424
1127	21220	16404
1128	21236	16383
1129	21255	16364
1130	21272	16344
1131	21289	16324
1132	21307	16305
1133	21324	16285
1134	21341	16264
1135	21360	16245
1136	21378	16226
1137	21395	16206
1138	21414	16187
1139	21430	16167
1140	21447	16146
1141	21466	16128
1142	21483	16107
1143	21499	16087
1144	21518	16068
1145	21535	16048
1146	21551	16027
1147	21570	16008
1148	21588	15989
1149	21605	15969
1150	21621	15948
1151	21637	15927
1152	21655	15907
1153	21671	15887
1154	21688	15867
1155	21704	15846
1156	21722	15827
1157	21739	15807
1158	21757	15787
1159	21775	15768
1160	21791	15747
1161	21811	15729
1162	21829	15710
1163	21845	15689
1164	21862	15669
1165	21881	15651
1166	21897	15630
1167	21914	15610
1168	21933	15591
1169	21950	15571
1170	21968	15552
1171	21984	15531
1172	22001	15511
1173	22019	15492
1174	22038	15473
1175	22054	15453
1176	22071	15433
1177	22089	15414
1178	22106	15394
1179	22124	15374
1180	22140	15354
1181	22157	15334
1182	22174	15313
1183	22191	15294
1184	22210	15275
1185	22227	15255
1186	22245	15236
1187	22263	15217
1188	22280	15197
1189	22297	15177
1190	22313	15156
1191	22330	15136
1192	22346	15116
1193	22362	15095
1194	22379	15075
1195	22394	15054
1196	22410	15034
1197	22427	15014
1198	22445	14995
1199	22464	14976
1200	22481	14956
1201	22497	14935
1202	22513	14915
1203	22530	14895
1204	22547	14875
1205	22564	14855
1206	22581	14835
1207	22597	14815
1208	22614	14796
1209	22631	14776
1210	22648	14755
1211	22665	14736
1212	22685	14718
1213	22701	14697
1214	22718	14678
1215	22735	14658
1216	22751	14637
1217	22767	14617
1218	22786	14598
1219	22803	14579
1220	22820	14559
1221	22835	14538
1222	22854	14519
1223	22871	14500
1224	22890	14481
1225	22907	14461
